channel,family,battery_id,cycle,observed,predicted_oracle_SOH,predicted_Q3_SOH
IR,PERSIST,1,151,0.01674024,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,152,0.016740628,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,153,0.016748846,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,154,0.016747372,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,155,0.016751025,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,156,0.016734676,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,157,0.016726201,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,158,0.016730631,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,159,0.016725052,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,160,0.016734798,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,161,0.016746862,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,162,0.016741382,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,163,0.016747773,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,164,0.016768474,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,165,0.0167647,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,166,0.016764032,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,167,0.016754109,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,168,0.016711727,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,169,0.016647922,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,170,0.016633736,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,171,0.016658876,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,172,0.016717143,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,173,0.016759157,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,174,0.01675274,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,175,0.016731106,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,176,0.016656866,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,177,0.016611878,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,178,0.016591484,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,179,0.016588649,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,180,0.016605705,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,181,0.016623458,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,182,0.016670227,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,183,0.016746096,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,184,0.016736848,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,185,0.016737927,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,186,0.016736824,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,187,0.016757375,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,188,0.016761232,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,189,0.016776931,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,190,0.016770208,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,191,0.016782723,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,192,0.016771089,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,193,0.016751757,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,194,0.01672929,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,195,0.016665393,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,196,0.016617596,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,197,0.016626829,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,198,0.016684754,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,199,0.016735243,0.016738670999999997,0.016738670999999997
IR,PERSIST,1,200,0.016747557,0.016738670999999997,0.016738670999999997
IR,PERSIST,3,151,0.016900733,0.016924831,0.016924831
IR,PERSIST,3,152,0.016929913,0.016924831,0.016924831
IR,PERSIST,3,153,0.016939161,0.016924831,0.016924831
IR,PERSIST,3,154,0.01692822,0.016924831,0.016924831
IR,PERSIST,3,155,0.016948462,0.016924831,0.016924831
IR,PERSIST,3,156,0.016946035,0.016924831,0.016924831
IR,PERSIST,3,157,0.016945714,0.016924831,0.016924831
IR,PERSIST,3,158,0.016949374,0.016924831,0.016924831
IR,PERSIST,3,159,0.016892003,0.016924831,0.016924831
IR,PERSIST,3,160,0.016860273,0.016924831,0.016924831
IR,PERSIST,3,161,0.016898889,0.016924831,0.016924831
IR,PERSIST,3,162,0.016902648,0.016924831,0.016924831
IR,PERSIST,3,163,0.016899442,0.016924831,0.016924831
IR,PERSIST,3,164,0.01690547,0.016924831,0.016924831
IR,PERSIST,3,165,0.016915411,0.016924831,0.016924831
IR,PERSIST,3,166,0.016926218,0.016924831,0.016924831
IR,PERSIST,3,167,0.016941812,0.016924831,0.016924831
IR,PERSIST,3,168,0.016949337,0.016924831,0.016924831
IR,PERSIST,3,169,0.016950224,0.016924831,0.016924831
IR,PERSIST,3,170,0.016950512,0.016924831,0.016924831
IR,PERSIST,3,171,0.016922617,0.016924831,0.016924831
IR,PERSIST,3,172,0.016858736,0.016924831,0.016924831
IR,PERSIST,3,173,0.016837331,0.016924831,0.016924831
IR,PERSIST,3,174,0.016855748,0.016924831,0.016924831
IR,PERSIST,3,175,0.016900115,0.016924831,0.016924831
IR,PERSIST,3,176,0.016959457,0.016924831,0.016924831
IR,PERSIST,3,177,0.016915683,0.016924831,0.016924831
IR,PERSIST,3,178,0.016956979,0.016924831,0.016924831
IR,PERSIST,3,179,0.016887186,0.016924831,0.016924831
IR,PERSIST,3,180,0.016834425,0.016924831,0.016924831
IR,PERSIST,3,181,0.016793085,0.016924831,0.016924831
IR,PERSIST,3,182,0.016787471,0.016924831,0.016924831
IR,PERSIST,3,183,0.016799552,0.016924831,0.016924831
IR,PERSIST,3,184,0.016824715,0.016924831,0.016924831
IR,PERSIST,3,185,0.016848752,0.016924831,0.016924831
IR,PERSIST,3,186,0.016933566,0.016924831,0.016924831
IR,PERSIST,3,187,0.01692236,0.016924831,0.016924831
IR,PERSIST,3,188,0.016896864,0.016924831,0.016924831
IR,PERSIST,3,189,0.016898859,0.016924831,0.016924831
IR,PERSIST,3,190,0.016922055,0.016924831,0.016924831
IR,PERSIST,3,191,0.0168944,0.016924831,0.016924831
IR,PERSIST,3,192,0.016924202,0.016924831,0.016924831
IR,PERSIST,3,193,0.016933111,0.016924831,0.016924831
IR,PERSIST,3,194,0.016947269,0.016924831,0.016924831
IR,PERSIST,3,195,0.016953897,0.016924831,0.016924831
IR,PERSIST,3,196,0.016963702,0.016924831,0.016924831
IR,PERSIST,3,197,0.016948286,0.016924831,0.016924831
IR,PERSIST,3,198,0.016899684,0.016924831,0.016924831
IR,PERSIST,3,199,0.01683748,0.016924831,0.016924831
IR,PERSIST,3,200,0.016826916,0.016924831,0.016924831
IR,PERSIST,4,151,0.0171252,0.0171678645,0.0171678645
IR,PERSIST,4,152,0.017365472,0.0171678645,0.0171678645
IR,PERSIST,4,153,0.017391767,0.0171678645,0.0171678645
IR,PERSIST,4,154,0.017408077,0.0171678645,0.0171678645
IR,PERSIST,4,155,0.017153511,0.0171678645,0.0171678645
IR,PERSIST,4,156,0.017498937,0.0171678645,0.0171678645
IR,PERSIST,4,157,0.017380442,0.0171678645,0.0171678645
IR,PERSIST,4,158,0.017067598,0.0171678645,0.0171678645
IR,PERSIST,4,159,0.016793571,0.0171678645,0.0171678645
IR,PERSIST,4,160,0.017430805,0.0171678645,0.0171678645
IR,PERSIST,4,161,0.017342249,0.0171678645,0.0171678645
IR,PERSIST,4,162,0.017221028,0.0171678645,0.0171678645
IR,PERSIST,4,163,0.017524231,0.0171678645,0.0171678645
IR,PERSIST,4,164,0.017370641,0.0171678645,0.0171678645
IR,PERSIST,4,165,0.017192639,0.0171678645,0.0171678645
IR,PERSIST,4,166,0.017039087,0.0171678645,0.0171678645
IR,PERSIST,4,167,0.017462866,0.0171678645,0.0171678645
IR,PERSIST,4,168,0.017275445,0.0171678645,0.0171678645
IR,PERSIST,4,169,0.017293001,0.0171678645,0.0171678645
IR,PERSIST,4,170,0.017587399,0.0171678645,0.0171678645
IR,PERSIST,4,171,0.017304244,0.0171678645,0.0171678645
IR,PERSIST,4,172,0.017152719,0.0171678645,0.0171678645
IR,PERSIST,4,173,0.017172642,0.0171678645,0.0171678645
IR,PERSIST,4,174,0.017447855,0.0171678645,0.0171678645
IR,PERSIST,4,175,0.017122982,0.0171678645,0.0171678645
IR,PERSIST,4,176,0.017470604,0.0171678645,0.0171678645
IR,PERSIST,4,177,0.017723296,0.0171678645,0.0171678645
IR,PERSIST,4,178,0.017215353,0.0171678645,0.0171678645
IR,PERSIST,4,179,0.017265718,0.0171678645,0.0171678645
IR,PERSIST,4,180,0.017270839,0.0171678645,0.0171678645
IR,PERSIST,4,181,0.017662631,0.0171678645,0.0171678645
IR,PERSIST,4,182,0.017263502,0.0171678645,0.0171678645
IR,PERSIST,4,183,0.017644592,0.0171678645,0.0171678645
IR,PERSIST,4,184,0.017526308,0.0171678645,0.0171678645
IR,PERSIST,4,185,0.017334048,0.0171678645,0.0171678645
IR,PERSIST,4,186,0.017130814,0.0171678645,0.0171678645
IR,PERSIST,4,187,0.016933702,0.0171678645,0.0171678645
IR,PERSIST,4,188,0.017763382,0.0171678645,0.0171678645
IR,PERSIST,4,189,0.017251497,0.0171678645,0.0171678645
IR,PERSIST,4,190,0.017079698,0.0171678645,0.0171678645
IR,PERSIST,4,191,0.017211163,0.0171678645,0.0171678645
IR,PERSIST,4,192,0.01749515,0.0171678645,0.0171678645
IR,PERSIST,4,193,0.017190976,0.0171678645,0.0171678645
IR,PERSIST,4,194,0.017150806,0.0171678645,0.0171678645
IR,PERSIST,4,195,0.01769462,0.0171678645,0.0171678645
IR,PERSIST,4,196,0.017414641,0.0171678645,0.0171678645
IR,PERSIST,4,197,0.017238932,0.0171678645,0.0171678645
IR,PERSIST,4,198,0.017198229,0.0171678645,0.0171678645
IR,PERSIST,4,199,0.017573599,0.0171678645,0.0171678645
IR,PERSIST,4,200,0.017244723,0.0171678645,0.0171678645
IR,PERSIST,6,151,0.017200537,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,152,0.016908599,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,153,0.017247923,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,154,0.017221633,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,155,0.016690632,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,156,0.017417001,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,157,0.016991328,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,158,0.017286941,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,159,0.017376652,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,160,0.017162289,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,161,0.017343486,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,162,0.017062142,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,163,0.017246883,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,164,0.01710492,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,165,0.017107919,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,166,0.017284064,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,167,0.017128466,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,168,0.017011184,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,169,0.017502056,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,170,0.017191997,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,171,0.017115843,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,172,0.016996548,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,173,0.017331848,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,174,0.01708685,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,175,0.017194483,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,176,0.017068695,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,177,0.017295625,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,178,0.016883943,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,179,0.01704267,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,180,0.017074702,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,181,0.017292505,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,182,0.017405979,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,183,0.017298659,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,184,0.017173519,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,185,0.016985094,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,186,0.01728644,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,187,0.017328234,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,188,0.017078562,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,189,0.017228998,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,190,0.017241659,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,191,0.016970936,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,192,0.017699057,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,193,0.017321931,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,194,0.017335529,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,195,0.016926035,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,196,0.017384594,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,197,0.017371453,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,198,0.017059758,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,199,0.017224567,0.017154654499999998,0.017154654499999998
IR,PERSIST,6,200,0.017211417,0.017154654499999998,0.017154654499999998
IR,PERSIST,7,151,0.017350666,0.017166457,0.017166457
IR,PERSIST,7,152,0.017446747,0.017166457,0.017166457
IR,PERSIST,7,153,0.017339991,0.017166457,0.017166457
IR,PERSIST,7,154,0.017315246,0.017166457,0.017166457
IR,PERSIST,7,155,0.017297968,0.017166457,0.017166457
IR,PERSIST,7,156,0.01695323,0.017166457,0.017166457
IR,PERSIST,7,157,0.017280703,0.017166457,0.017166457
IR,PERSIST,7,158,0.017162049,0.017166457,0.017166457
IR,PERSIST,7,159,0.016949244,0.017166457,0.017166457
IR,PERSIST,7,160,0.017187836,0.017166457,0.017166457
IR,PERSIST,7,161,0.017168092,0.017166457,0.017166457
IR,PERSIST,7,162,0.017061424,0.017166457,0.017166457
IR,PERSIST,7,163,0.017252523,0.017166457,0.017166457
IR,PERSIST,7,164,0.017107137,0.017166457,0.017166457
IR,PERSIST,7,165,0.01696042,0.017166457,0.017166457
IR,PERSIST,7,166,0.017186776,0.017166457,0.017166457
IR,PERSIST,7,167,0.0169545,0.017166457,0.017166457
IR,PERSIST,7,168,0.01702282,0.017166457,0.017166457
IR,PERSIST,7,169,0.01700124,0.017166457,0.017166457
IR,PERSIST,7,170,0.01700124,0.017166457,0.017166457
IR,PERSIST,7,171,0.017164841,0.017166457,0.017166457
IR,PERSIST,7,172,0.017190099,0.017166457,0.017166457
IR,PERSIST,7,173,0.017259661,0.017166457,0.017166457
IR,PERSIST,7,174,0.017082462,0.017166457,0.017166457
IR,PERSIST,7,175,0.017181044,0.017166457,0.017166457
IR,PERSIST,7,176,0.017413275,0.017166457,0.017166457
IR,PERSIST,7,177,0.017298266,0.017166457,0.017166457
IR,PERSIST,7,178,0.017291756,0.017166457,0.017166457
IR,PERSIST,7,179,0.017098855,0.017166457,0.017166457
IR,PERSIST,7,180,0.017175157,0.017166457,0.017166457
IR,PERSIST,7,181,0.017186183,0.017166457,0.017166457
IR,PERSIST,7,182,0.017178964,0.017166457,0.017166457
IR,PERSIST,7,183,0.017158126,0.017166457,0.017166457
