battery_id,policy,life_150,peer_life_200,selected_weight,pooled_life,life_200,individual_relative_error,pooled_relative_error
1,3_6C-80PER_3_6C,1069.811231197216,1914.7326451703495,0.75,1237.392274303191,982.2698742838348,0.089121492173632,0.25972739946378165
3,3_6C-80PER_3_6C,1389.4625092511337,982.2698742838345,0.75,1274.0686542656006,1914.73264517035,0.2743307987379533,0.3345971002900777
4,80PER_3_6C,628.5331792948361,1253.4107394443217,0.75,746.9121241871317,697.1598165308948,0.09843745380728985,0.07136427900249198
6,80PER_3_6C,1548.3687580285707,697.159816530895,0.75,1268.3493381080393,1253.4107394443215,0.2353243109397753,0.011918358598347887
7,4_8C_80PER_4_8C,807.8628129365916,636.331272767851,0.75,761.0689953549335,787.6249299642386,0.025694822754368435,0.0337164729035569
8,4_8C_80PER_4_8C,612.2447017526712,787.6249299642384,0.75,652.0391012577978,636.3312727678513,0.03785225093591689,0.024684985890481532
12,5_6C_19PER_4_6C_NEWSTRUCTURE,7143.6428402837255,1406.2969962094303,0.75,4758.37934941422,1858.5846161428087,2.8435930106368783,1.5602166875186265
13,5_6C_36PER_4_3C_NEWSTRUCTURE,7894.050447303765,1555.8415971595227,0.75,5259.764114921341,2016.0135974644884,2.915673216307668,1.6089923805754447
15,5_6C_36PER_4_3C_NEWSTRUCTURE,1433.9539661650995,1876.1589512589053,0.75,1533.6237114436394,1311.400423827397,0.09345241934574265,0.16945494570428088
17,4_8C_80PER_4_8C_NEWSTRUCTURE,4604.868954572273,1649.5789880295927,0.75,3562.511177804685,2790.6259356299984,0.6501204607104389,0.27659932215187033
18,5C_67PER_4C_NEWSTRUCTURE,1339.7044050811785,1509.2271596861829,0.75,1380.2107067452425,1520.4620000742714,0.11888333610722482,0.09224255083137747
19,5_3C_54PER_4C_NEWSTRUCTURE,2126.5123925078897,1717.16316464745,0.75,2015.829652943054,2070.952747784514,0.02682806007177751,0.02661726343125412
20,4_8C_80PER_4_8C_NEWSTRUCTURE,1658.9451091757219,1688.0337803870232,0.75,1666.169942739236,1596.6881661925581,0.03899129729984838,0.04351618432318136
21,5_6C_19PER_4_6C_NEWSTRUCTURE,1234.2630648822321,1610.785031462669,0.75,1319.2138313672676,1416.645759530717,0.12874262561510197,0.06877649370561417
22,5_6C_36PER_4_3C_NEWSTRUCTURE,4154.789607532211,1555.8415971595227,0.75,3250.147884095246,2339.035359611881,0.7762833684658877,0.3895249042470853
23,5_6C_19PER_4_6C_NEWSTRUCTURE,1261.0125599696992,1622.6385966036094,0.75,1343.0587471914869,1346.033227620217,0.06316386988516934,0.0022098120370988733
26,5_3C_54PER_4C_NEWSTRUCTURE,1312.8263909702785,2006.0022709391662,0.75,1459.6150374239717,1517.5062088229347,0.13487906452219245,0.03814888602259279
27,5_6C_19PER_4_6C_NEWSTRUCTURE,5816.497697592435,1406.2969962094303,0.75,4078.64054978154,3089.730728753138,0.8825257629941379,0.3200634320090013
