response,policy_a,policy_b,z,p_raw,p_holm,significant_0_05
stable_rate,3_6C-80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,-3.2285714285714286,0.0012441018538420611,0.04354356488447214,True
stable_rate,3_6C-80PER_3_6C,4_8C_80PER_4_8C,-2.9142857142857146,0.0035650346308531587,0.11408110818730108,False
stable_rate,3_6C-80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,-0.36290588349062186,0.7166751915632237,1.0,False
stable_rate,3_6C-80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,-0.9852083883692424,0.3245217210971566,1.0,False
stable_rate,3_6C-80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,-0.9562216928037646,0.33896024250042933,1.0,False
stable_rate,3_6C-80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.145037851424661,0.03194982073975093,0.8306953392335242,False
stable_rate,3_6C-80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,-1.5506297721142128,0.12099043312145161,1.0,False
stable_rate,3_6C-80PER_3_6C,80PER_3_6C,-2.0000000000000004,0.045500263896358355,1.0,False
stable_rate,3_7C_31PER_5_9C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,3.3651272832766757,0.0007650835606777367,0.02754300818439852,True
stable_rate,4_8C_80PER_4_8C,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.3142857142857141,0.7533040472859124,1.0,False
stable_rate,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,3.002221399786054,0.0026801717280684847,0.09112583875432848,False
stable_rate,4_8C_80PER_4_8C,5C_67PER_4C_NEWSTRUCTURE,2.4630209709231057,0.013777185741550764,0.39953838650497214,False
stable_rate,4_8C_80PER_4_8C,5_3C_54PER_4C_NEWSTRUCTURE,2.558539123988451,0.010511299155958184,0.3153389746787455,False
stable_rate,4_8C_80PER_4_8C,5_6C_19PER_4_6C_NEWSTRUCTURE,1.3697229653675547,0.17077339701808958,1.0,False
stable_rate,4_8C_80PER_4_8C,5_6C_36PER_4_3C_NEWSTRUCTURE,1.964131044678003,0.04951489685055814,1.0,False
stable_rate,5C_67PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-2.8348888430036525,0.004584163286036386,0.14210906186712796,False
stable_rate,5C_67PER_4C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,0.7607552815067637,0.4468032488651611,1.0,False
stable_rate,5C_67PER_4C_NEWSTRUCTURE,5_3C_54PER_4C_NEWSTRUCTURE,0.06278288749411852,0.9499393927846146,1.0,False
stable_rate,5C_67PER_4C_NEWSTRUCTURE,5_6C_19PER_4_6C_NEWSTRUCTURE,-1.492300941206352,0.13562027012208452,1.0,False
stable_rate,5C_67PER_4C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,-0.7147590268561167,0.4747579571039495,1.0,False
stable_rate,5_3C_54PER_4C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-2.937581957171925,0.003307827275978685,0.1091583001072966,False
stable_rate,5_3C_54PER_4C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,0.7235319911890923,0.4693531069613872,1.0,False
stable_rate,5_3C_54PER_4C_NEWSTRUCTURE,5_6C_19PER_4_6C_NEWSTRUCTURE,-1.60966468811466,0.10747107783818535,1.0,False
stable_rate,5_3C_54PER_4C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,-0.80483234405733,0.4209164343550159,1.0,False
stable_rate,5_6C_19PER_4_6C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-1.7487657985510288,0.08033151101182356,1.0,False
stable_rate,5_6C_19PER_4_6C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,2.21379191333976,0.026843096621196126,0.7247636087722954,False
stable_rate,5_6C_19PER_4_6C_NEWSTRUCTURE,5_6C_36PER_4_3C_NEWSTRUCTURE,0.80483234405733,0.4209164343550159,1.0,False
stable_rate,5_6C_36PER_4_3C_NEWSTRUCTURE,3_7C_31PER_5_9C_NEWSTRUCTURE,-2.343173877861477,0.019120469893983996,0.5353731570315519,False
stable_rate,5_6C_36PER_4_3C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,1.468661952264426,0.14192450216969765,1.0,False
stable_rate,80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,-1.2285714285714282,0.2192325332813333,1.0,False
stable_rate,80PER_3_6C,4_8C_80PER_4_8C,-0.9142857142857141,0.36056673509747184,1.0,False
stable_rate,80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,1.9464951932678816,0.051595284776610476,1.0,False
stable_rate,80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,1.3812235248706044,0.16721024366808912,1.0,False
stable_rate,80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,1.4558690638183445,0.1454288191354509,1.0,False
stable_rate,80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,0.267052905197448,0.7894284272718568,1.0,False
stable_rate,80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,0.8614609845078962,0.38898420053804383,1.0,False
life_150,3_6C-80PER_3_6C,3_7C_31PER_5_9C_NEWSTRUCTURE,1.0285714285714287,0.3036811097223191,1.0,False
life_150,3_6C-80PER_3_6C,4_8C_80PER_4_8C,1.5142857142857145,0.1299533902149312,1.0,False
life_150,3_6C-80PER_3_6C,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.2371791482634837,0.21602058095545884,1.0,False
life_150,3_6C-80PER_3_6C,5C_67PER_4C_NEWSTRUCTURE,-0.5505576287945764,0.5819369615046419,1.0,False
life_150,3_6C-80PER_3_6C,5_3C_54PER_4C_NEWSTRUCTURE,-0.8657682894304355,0.3866172421962131,1.0,False
life_150,3_6C-80PER_3_6C,5_6C_19PER_4_6C_NEWSTRUCTURE,-0.8011587155923433,0.42303976813944355,1.0,False
life_150,3_6C-80PER_3_6C,5_6C_36PER_4_3C_NEWSTRUCTURE,-0.8528463746628171,0.39374450292513175,1.0,False
life_150,3_6C-80PER_3_6C,80PER_3_6C,0.6571428571428571,0.5110890641174397,1.0,False
life_150,3_7C_31PER_5_9C_NEWSTRUCTURE,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.4248711305964283,0.015313821713431998,0.4900422948298239,False
life_150,4_8C_80PER_4_8C,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.4857142857142857,0.6271697535393987,1.0,False
life_150,4_8C_80PER_4_8C,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.985725677809208,0.0028290630288037998,0.10184626903693679,False
life_150,4_8C_80PER_4_8C,5C_67PER_4C_NEWSTRUCTURE,-2.3422846488190316,0.01916609113580462,0.5941488252099433,False
life_150,4_8C_80PER_4_8C,5_3C_54PER_4C_NEWSTRUCTURE,-2.6920655765871753,0.007101098115296956,0.24853843403539347,False
