battery_id,policy,weight,life_150,peer_life_200,pooled_life,life_200,relative_error,log_error
1,3_6C-80PER_3_6C,0.0,1069.811231197216,1914.7326451703495,1914.7326451703495,982.2698742838348,0.9492938705530045,0.6674671893300959
3,3_6C-80PER_3_6C,0.0,1389.4625092511337,982.2698742838345,982.2698742838345,1914.73264517035,0.4869937185426512,-0.6674671893300959
4,80PER_3_6C,0.0,628.5331792948361,1253.4107394443217,1253.4107394443217,697.1598165308948,0.7978815039589657,0.5866090295166648
6,80PER_3_6C,0.0,1548.3687580285707,697.159816530895,697.159816530895,1253.4107394443215,0.4437898171831773,-0.5866090295166648
7,4_8C_80PER_4_8C,0.0,807.8628129365916,636.331272767851,636.331272767851,787.6249299642386,0.1920884566252327,-0.21330270247530603
8,4_8C_80PER_4_8C,0.0,612.2447017526712,787.6249299642384,787.6249299642384,636.3312727678513,0.23775926733618613,0.21330270247530603
12,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0,7143.6428402837255,1406.2969962094303,1406.2969962094303,1858.5846161428087,0.2433505668803114,-0.2788552330469125
13,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0,7894.050447303765,1555.8415971595227,1555.8415971595227,2016.0135974644884,0.22825838123498643,-0.2591054756976945
15,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0,1433.9539661650995,1876.1589512589053,1876.1589512589053,1311.400423827397,0.4306530005406193,0.3581309837764941
17,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0,4604.868954572273,1649.5789880295927,1649.5789880295927,2790.6259356299984,0.4088856672016876,-0.5257458237748098
18,5C_67PER_4C_NEWSTRUCTURE,0.0,1339.7044050811785,1509.2271596861829,1509.2271596861829,1520.4620000742714,0.007389096463798317,-0.007416531065230991
19,5_3C_54PER_4C_NEWSTRUCTURE,0.0,2126.5123925078897,1717.16316464745,1717.16316464745,2070.952747784514,0.17083421314925937,-0.18733515970259607
20,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0,1658.9451091757219,1688.0337803870232,1688.0337803870232,1596.6881661925581,0.05720942644191233,0.055632820130789185
21,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0,1234.2630648822321,1610.785031462669,1610.785031462669,1416.645759530717,0.13704150852522454,0.12842972116027784
22,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0,4154.789607532211,1555.8415971595227,1555.8415971595227,2339.035359611881,0.3348362217928654,-0.4077219856307197
23,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0,1261.0125599696992,1622.6385966036094,1622.6385966036094,1346.033227620217,0.20549668708582314,0.1868916704692598
26,5_3C_54PER_4C_NEWSTRUCTURE,0.0,1312.8263909702785,2006.0022709391662,2006.0022709391662,1517.5062088229347,0.3219071258332032,0.2790754861879794
27,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0,5816.497697592435,1406.2969962094303,1406.2969962094303,3089.730728753138,0.5448480402766548,-0.7871239383752835
28,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0,5647.720465861395,1555.8415971595227,1555.8415971595227,3856.4538734843713,0.5965615956521753,-0.9077314563379257
29,5C_67PER_4C_NEWSTRUCTURE,0.0,1503.7812975133613,1520.4620000742716,1520.4620000742716,1509.2271596861826,0.00744410164896917,0.007416531065230991
30,3_7C_31PER_5_9C_NEWSTRUCTURE,0.0,1307.123818793496,788.1788371167802,788.1788371167802,1334.554333618404,0.40940670809574675,-0.526627667840013
31,5C_67PER_4C_NEWSTRUCTURE,0.0,1122.0537755457078,1520.4620000742716,1520.4620000742716,1200.1379918224288,0.26690598117423614,0.2365776927247083
32,5_3C_54PER_4C_NEWSTRUCTURE,0.0,1133.31720899159,2006.0022709391662,2006.0022709391662,1425.4739486837154,0.4072528458282324,0.3416394676219774
33,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0,1276.0594884758334,1622.6385966036094,1622.6385966036094,1396.023831817206,0.1623287222048485,0.15042551188663378
34,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0,1095.5568150489448,1876.1589512589053,1876.1589512589053,1337.5806326715976,0.4026511041144383,0.338364091730301
35,3_7C_31PER_5_9C_NEWSTRUCTURE,0.0,636.240989342819,1334.5543336184037,1334.5543336184037,788.1788371167802,0.6932125943653953,0.526627667840013
36,5_3C_54PER_4C_NEWSTRUCTURE,0.0,1420.1963351781887,2006.0022709391662,2006.0022709391662,1374.4657999766437,0.4594777629048713,0.378078675091043
37,5C_67PER_4C_NEWSTRUCTURE,0.0,1578.5050469221394,1509.2271596861829,1509.2271596861829,1976.8623002979193,0.23655423068225964,-0.26991318589951785
38,5_3C_54PER_4C_NEWSTRUCTURE,0.0,1660.5412194865985,1717.16316464745,1717.16316464745,2158.146890927874,0.20433443531307896,-0.2285763262890148
39,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0,2319.191303725735,1406.2969962094303,1406.2969962094303,1976.1297137170336,0.2883579521891643,-0.34018023582592516
40,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0,1752.2082533180896,1671.8188047285676,1671.8188047285676,1746.0062842909067,0.0424898124536066,-0.04341891824880051
41,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0,1294.8666388862823,1649.5789880295927,1649.5789880295927,1689.3410707292887,0.023537036652125417,-0.023818457343852018
42,5C_67PER_4C_NEWSTRUCTURE,0.0,1938.1863419397039,1509.2271596861829,1509.2271596861829,2193.6052872562664,0.3119878182031987,-0.37394873510554305
43,5_3C_54PER_4C_NEWSTRUCTURE,0.0,1525.6569288719072,1717.16316464745,1717.16316464745,2081.9612532833025,0.17521848116075997,-0.19263675336936625
44,5_6C_19PER_4_6C_NEWSTRUCTURE,0.0,1358.3941781333353,1622.6385966036094,1622.6385966036094,1378.5612883369674,0.1770521995152537,0.16301317692535555
45,5_6C_36PER_4_3C_NEWSTRUCTURE,0.0,1301.9152380859166,1876.1589512589053,1876.1589512589053,1386.388524045303,0.35327068763128194,0.3025243939464959
46,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0,1513.5608418001912,1688.0337803870232,1688.0337803870232,1613.2486338355777,0.0463568634015453,0.04531447705756442
47,5C_67PER_4C_NEWSTRUCTURE,0.0,1320.7014356750203,1520.4620000742716,1520.4620000742716,1369.137615684812,0.11052532824742414,0.10483317205931098
48,5_3C_54PER_4C_NEWSTRUCTURE,0.0,1829.9041179280866,1772.7615894253574,1772.7615894253574,1943.0888103642017,0.08765797015058671,-0.09174032648538244
49,4_8C_80PER_4_8C_NEWSTRUCTURE,0.0,1891.2044307761378,1650.8564972269262,1650.8564972269262,1686.727501686556,0.02126662689958068,-0.02149601971371151
1,3_6C-80PER_3_6C,0.25,1069.811231197216,1914.7326451703495,1655.4188441953102,982.2698742838348,0.6852994146870919,0.5219432421949008
3,3_6C-80PER_3_6C,0.25,1389.4625092511337,982.2698742838345,1071.2351800782096,1914.73264517035,0.44053015297971065,-0.5807656454075527
4,80PER_3_6C,0.25,628.5331792948361,1253.4107394443217,1054.7562578162842,697.1598165308948,0.5129332368362951,0.414050307485164
6,80PER_3_6C,0.25,1548.3687580285707,697.159816530895,851.0750523034676,1253.4107394443215,0.32099269176457085,-0.38712338824803716
7,4_8C_80PER_4_8C,0.25,807.8628129365916,636.331272767851,675.4556749983174,787.6249299642386,0.14241455634347963,-0.15363446215792198
8,4_8C_80PER_4_8C,0.25,612.2447017526712,787.6249299642384,739.555633103463,636.3312727678513,0.16221795903039088,0.1503302131555433
12,5_6C_19PER_4_6C_NEWSTRUCTURE,0.25,7143.6428402837255,1406.2969962094303,2111.2405570440133,1858.5846161428087,0.13593997212004855,0.12746047745918254
13,5_6C_36PER_4_3C_NEWSTRUCTURE,0.25,7894.050447303765,1555.8415971595227,2335.065183084663,2016.0135974644884,0.15825864767055214,0.1469177114387472
15,5_6C_36PER_4_3C_NEWSTRUCTURE,0.25,1433.9539661650995,1876.1589512589053,1754.2279434251757,1311.400423827397,0.3376752908965527,0.2909332498148398
17,4_8C_80PER_4_8C_NEWSTRUCTURE,0.25,4604.868954572273,1649.5789880295927,2132.2305225083246,2790.6259356299984,0.23593108797400952,-0.2690972948964019
18,5C_67PER_4C_NEWSTRUCTURE,0.25,1339.7044050811785,1509.2271596861829,1464.9344945799917,1520.4620000742714,0.036520153408350416,-0.03720370822073793
19,5_3C_54PER_4C_NEWSTRUCTURE,0.25,2126.5123925078897,1717.16316464745,1811.4470854467697,2070.952747784514,0.125307379714656,-0.13388274544416046
20,4_8C_80PER_4_8C_NEWSTRUCTURE,0.25,1658.9451091757219,1688.0337803870232,1680.7141410152815,1596.6881661925581,0.0526251628851804,0.05128719910989599
21,5_6C_19PER_4_6C_NEWSTRUCTURE,0.25,1234.2630648822321,1610.785031462669,1507.0585393567192,1416.645759530717,0.06382172763920363,0.06186782767024113
22,5_6C_36PER_4_3C_NEWSTRUCTURE,0.25,4154.789607532211,1555.8415971595227,1988.8924225502283,2339.035359611881,0.14969544415940447,-0.1621606926833099
23,5_6C_19PER_4_6C_NEWSTRUCTURE,0.25,1261.0125599696992,1622.6385966036094,1523.5131410949552,1346.033227620217,0.13185403586843258,0.1238570278879303
26,5_3C_54PER_4C_NEWSTRUCTURE,0.25,1312.8263909702785,2006.0022709391662,1804.2652713986058,1517.5062088229347,0.18896730761852895,0.17308512163553402
27,5_6C_19PER_4_6C_NEWSTRUCTURE,0.25,5816.497697592435,1406.2969962094303,2005.5023581377957,3089.730728753138,0.35091354742517744,-0.4321893622515329
28,5_6C_36PER_4_3C_NEWSTRUCTURE,0.25,5647.720465861395,1555.8415971595227,2147.5452937550053,3856.4538734843713,0.44312952670826017,-0.5854226095591439
29,5C_67PER_4C_NEWSTRUCTURE,0.25,1503.7812975133613,1520.4620000742716,1516.2745574750584,1509.2271596861826,0.004669540793541725,0.004658672308686107
30,3_7C_31PER_5_9C_NEWSTRUCTURE,0.25,1307.123818793496,788.1788371167802,894.4328874556729,1334.554333618404,0.329789080201344,-0.4001628104683972
31,5C_67PER_4C_NEWSTRUCTURE,0.25,1122.0537755457078,1520.4620000742716,1409.2404349616152,1200.1379918224288,0.17423200045659826,0.16061431726296505
32,5_3C_54PER_4C_NEWSTRUCTURE,0.25,1133.31720899159,2006.0022709391662,1739.1475772978279,1425.4739486837154,0.22004865743338142,0.19889074109196958
33,5_6C_19PER_4_6C_NEWSTRUCTURE,0.25,1276.0594884758334,1622.6385966036094,1528.0377438505936,1396.023831817206,0.09456422521207607,0.0903563162153933
34,5_6C_36PER_4_3C_NEWSTRUCTURE,0.25,1095.5568150489448,1876.1589512589053,1640.0645766832492,1337.5806326715976,0.22614258656503541,0.20387313300676713
35,3_7C_31PER_5_9C_NEWSTRUCTURE,0.25,636.240989342819,1334.5543336184037,1108.9388691807662,788.1788371167802,0.40696351761657457,0.34143384859677717
