link,key,expected,actual,absolute_difference,passed
Q1→Q2,4_8C_80PER_4_8C_NEWSTRUCTURE,1775.074769975773,1775.074769975773,0.0,True
Q1→Q2,5_6C_19PER_4_6C_NEWSTRUCTURE,1659.9651427339136,1659.9651427339136,0.0,True
Q1→Q2,5_3C_54PER_4C_NEWSTRUCTURE,1593.0990741793662,1593.0990741793662,0.0,True
Q1→Q2,5_6C_36PER_4_3C_NEWSTRUCTURE,1593.0811097410715,1593.0811097410713,2.2737367544323206e-13,True
Q1→Q2,5C_67PER_4C_NEWSTRUCTURE,1503.7812975135014,1503.7812975135014,0.0,True
Q1→Q2,3_6C-80PER_3_6C,1389.4625092510232,1389.4625092510232,0.0,True
Q1→Q2,3_7C_31PER_5_9C_NEWSTRUCTURE,856.0584886102423,856.0584886102423,0.0,True
Q1→Q2,4_8C_80PER_4_8C,640.26791983904,640.26791983904,0.0,True
Q1→Q4,3_6C-80PER_3_6C,1389.4625092510232,1389.4625092510232,0.0,True
Q1→Q4,3_7C_31PER_5_9C_NEWSTRUCTURE,856.0584886102423,856.0584886102423,0.0,True
Q1→Q4,4_8C_80PER_4_8C,640.26791983904,640.26791983904,0.0,True
Q1→Q4,4_8C_80PER_4_8C_NEWSTRUCTURE,1775.074769975773,1775.074769975773,0.0,True
Q1→Q4,5C_67PER_4C_NEWSTRUCTURE,1503.7812975135014,1503.7812975135014,0.0,True
Q1→Q4,5_3C_54PER_4C_NEWSTRUCTURE,1593.0990741793662,1593.0990741793662,0.0,True
Q1→Q4,5_6C_19PER_4_6C_NEWSTRUCTURE,1659.9651427339136,1659.9651427339136,0.0,True
Q1→Q4,5_6C_36PER_4_3C_NEWSTRUCTURE,1593.0811097410715,1593.0811097410715,0.0,True
Q1→Q4,80PER_3_6C,1114.386561471108,1114.386561471108,0.0,True
Q3 pooling,2,1651.3419203432024,1651.3419203432024,0.0,True
Q3 pooling,5,1085.9829542235104,1085.9829542235104,0.0,True
Q3 pooling,9,765.8241423877081,765.8241423877081,0.0,True
Q3 pooling,10,1742.4695936768105,1742.4695936768103,2.2737367544323206e-13,True
Q3 pooling,11,2753.953590939959,2753.953590939959,0.0,True
Q3 pooling,14,1974.8853047138625,1974.8853047138623,2.2737367544323206e-13,True
Q3 pooling,16,924.0882851550838,924.0882851550838,0.0,True
Q3 pooling,24,1797.6719339483773,1797.6719339483757,1.5916157281026244e-12,True
Q3 pooling,25,1805.100210198373,1805.1002101983715,1.3642420526593924e-12,True
