battery_id,cycle,capacity,SOH,SOH_smooth,chargetime,IR,Tavg,policy,capacity_clean,IR_clean,Tavg_clean,chargetime_clean,capacity_candidate,capacity_repaired,IR_candidate,IR_repaired,Tavg_candidate,Tavg_repaired,chargetime_candidate,chargetime_repaired,SOH_clean,SOH_sg
1,1,1.0706892,1.0,1.0003771091243534,13.34125,0.016742354,31.875010776449,3_6C-80PER_3_6C,1.0706892,0.016742354,31.875010776449,13.34125,False,False,False,False,False,False,False,False,1.0,0.9996948596385293
1,2,1.0706892,1.0,1.0007078618146144,13.34125,0.016742354,31.875010776449,3_6C-80PER_3_6C,1.0706892,0.016742354,31.875010776449,13.34125,False,False,False,False,False,False,False,False,1.0,1.0004421785558273
1,3,1.0719005,1.0011313273730602,1.001030439085404,13.4257766666667,0.016724309,31.9314903276634,3_6C-80PER_3_6C,1.0719005,0.016724309,31.9314903276634,13.4257766666667,False,False,False,False,False,False,False,False,1.0011313273730602,1.0011143251008938
1,4,1.0725095,1.0017001198853972,1.0015696992180363,13.4251666666667,0.016681245,31.9326034757631,3_6C-80PER_3_6C,1.0725095,0.016681245,31.9326034757631,13.4251666666667,False,False,False,False,False,False,False,False,1.0017001198853972,1.0017112992737294
1,5,1.073174,1.002320748168563,1.002186591589791,13.3414416666667,0.016661867,31.9593215588752,3_6C-80PER_3_6C,1.073174,0.016661867,31.9593215588752,13.3414416666667,False,False,False,False,False,False,False,False,1.002320748168563,1.0022331010743335
1,6,1.0735761,1.0026963006631615,1.0026486491131137,13.340835,0.016623382,31.9610618548094,3_6C-80PER_3_6C,1.0735761,0.016623382,31.9610618548094,13.340835,False,False,False,False,False,False,False,False,1.0026963006631617,1.0026797305027095
1,7,1.0739917,1.003084461858773,1.0030190086908508,13.3401983333333,0.016599579,31.900562096745,3_6C-80PER_3_6C,1.0739917,0.016599579,31.900562096745,13.3401983333333,False,False,False,False,False,False,False,False,1.003084461858773,1.0031498670868557
1,8,1.0743741,1.003441614989672,1.0032736670921871,13.4254416666667,0.016576905,31.921667846855,3_6C-80PER_3_6C,1.0743741,0.016576905,31.921667846855,13.4254416666667,False,False,False,False,False,False,False,False,1.003441614989672,1.0034208285396897
1,9,1.0744922,1.003551917774084,1.0034988117933756,13.4251900000001,0.016588196,31.8700823200708,3_6C-80PER_3_6C,1.0744922,0.016588196,31.8700823200708,13.4251900000001,False,False,False,False,False,False,False,False,1.0035519177740841,1.003473383952428
1,10,1.0745373,1.0035940401752443,1.090370464183257,13.4256333333333,0.016572181,31.8410526761062,3_6C-80PER_3_6C,1.0745373,0.016572181,31.8410526761062,13.4256333333333,False,False,False,False,False,False,False,False,1.0035940401752443,1.0036620292998646
1,11,1.0747814,1.0038220241691054,1.09026824964705,13.3409966666667,0.016564831,31.8113817316857,3_6C-80PER_3_6C,1.0747814,0.016564831,31.8113817316857,13.3409966666667,False,False,False,False,False,False,False,False,1.0038220241691054,1.003453469759381
1,12,1.5390544,1.437442723808179,1.0903736023488424,13.3412733333333,0.018950272,30.2825794307692,3_6C-80PER_3_6C,1.0743041500000001,0.0165972625,30.2825794307692,13.3412733333333,True,True,True,True,False,False,False,False,1.003376283238871,1.0036309981578444
1,13,1.0738269,1.0029305423086363,1.0901036453902777,13.3419066666667,0.016629694,31.5412074655022,3_6C-80PER_3_6C,1.0738269,0.016629694,31.5412074655022,13.3419066666667,False,False,False,False,False,False,False,False,1.0029305423086365,1.0032928832619754
1,14,1.0750562,1.0040786812830464,1.0903014805790516,13.4259516666665,0.016623681,31.5544874672645,3_6C-80PER_3_6C,1.0750562,0.016623681,31.5544874672645,13.4259516666665,False,False,False,False,False,False,False,False,1.0040786812830464,1.003187047134117
1,15,1.0730921,1.0022442553824211,1.0031334396573723,13.4253683333334,0.016606225,31.6041672391697,3_6C-80PER_3_6C,1.0730921,0.016606225,31.6041672391697,13.4253683333334,False,False,False,False,False,False,False,False,1.0022442553824211,1.0032460173854179
1,16,1.0758405,1.004811200112974,1.0035766868667395,13.3412383333334,0.016644137,31.6266406853333,3_6C-80PER_3_6C,1.0758405,0.016644137,31.6266406853333,13.3412383333334,False,False,False,False,False,False,False,False,1.004811200112974,1.0034658377814853
1,17,1.072405,1.0016025191997828,1.0037879339774791,13.4611583333334,0.016638549,31.5667250036199,3_6C-80PER_3_6C,1.072405,0.016638549,31.5667250036199,13.4611583333334,False,False,False,False,False,False,False,False,1.0016025191997828,1.003862696836347
1,18,1.0761998,1.0051467783554742,1.0044111400395184,13.4289500000001,0.016635945,31.6109885987203,3_6C-80PER_3_6C,1.0761998,0.016635945,31.6109885987203,13.4289500000001,False,False,False,False,False,False,False,False,1.0051467783554742,1.004304709801602
1,19,1.0761871,1.0051349168367445,1.0045430924305578,13.4259766666665,0.016622188,31.5638435113533,3_6C-80PER_3_6C,1.0761871,0.016622188,31.5638435113533,13.4259766666665,False,False,False,False,False,False,False,False,1.0051349168367443,1.004773232498144
1,20,1.0764284,1.0053602856926174,1.0053367120916137,13.3577633333332,0.016603719,31.5817252071111,3_6C-80PER_3_6C,1.0764284,0.016603719,31.5817252071111,13.3577633333332,False,False,False,False,False,False,False,False,1.0053602856926174,1.005185236036545
1,21,1.0765469,1.0054709620681708,1.005418098921704,13.4426700000001,0.016579002,31.5606632388591,3_6C-80PER_3_6C,1.0765469,0.016579002,31.5606632388591,13.4426700000001,False,False,False,False,False,False,False,False,1.0054709620681708,1.0052661918870183
1,22,1.0766536,1.0055706175050614,1.005280580022662,13.3415516666665,0.016562166,31.6081539007092,3_6C-80PER_3_6C,1.0766536,0.016562166,31.6081539007092,13.3415516666665,False,False,False,False,False,False,False,False,1.0055706175050614,1.005616929090803
1,23,1.0766355,1.0055537125059262,1.0053218618437545,13.4255599999999,0.016565233,31.6449545828878,3_6C-80PER_3_6C,1.0766355,0.016565233,31.6449545828878,13.4255599999999,False,False,False,False,False,False,False,False,1.0055537125059262,1.005332946266789
